  22:33:09.620  Initializing game systems...  -  Server - GameManager:44
  22:33:09.620  ItemManager initialized  -  Server - ItemManager:15
  22:33:09.620  InventoryManager initialized  -  Server - InventoryManager:14
  22:33:09.620  PlacementManager initialized  -  Server - PlacementManager:16
  22:33:09.620  InteractionManager initialized  -  Server - InteractionManager:14
  22:33:09.621  Game systems initialized successfully  -  Server - GameManager:62
  22:33:09.621  InteractionManager initialized  -  Server - InteractionManager:14
  22:33:09.621  Server initialized successfully  -  Server - server:153
  22:33:09.686  Player joined: Xdjpearsonx  -  Server - GameManager:80
  22:33:09.723  Client script starting...  -  Client - client:5
  22:33:09.725  InteractionSystem module loading...  -  Client - InteractionSystem:6
  22:33:09.725  InteractionSystem initialized  -  Client - InteractionSystem:25
  22:33:09.725  Client initialized successfully  -  Client - client:22
  22:33:09.928   ▶ DataStoreService: StudioAccessToApisNotAllowed: Studio access to APIs is not allowed. API: GetAsync, Data Store: PlayerCurrency (x2)  -  Studio
  22:33:10.318  StarterGui script starting...  -  Client - StarterGui:9
  22:33:10.631  === Enhanced Glow Manager Starting ===  -  Server - NeonGlowManager:7
  22:33:10.631  Found 6 glow models  -  Server - NeonGlowManager:145
  22:33:10.631  Processing: Glow_Green_Cube (Color: Green)  -  Server - NeonGlowManager:153
  22:33:10.631    Enhancing glow for SmoothCube (UnionOperation)  -  Server - NeonGlowManager:85
  22:33:10.632    ✓ Enhanced glow applied to SmoothCube  -  Server - NeonGlowManager:140
  22:33:10.632  Processing: Glow_Blue_Cube (Color: Blue)  -  Server - NeonGlowManager:153
  22:33:10.632    Enhancing glow for SmoothCube (UnionOperation)  -  Server - NeonGlowManager:85
  22:33:10.632    ✓ Enhanced glow applied to SmoothCube  -  Server - NeonGlowManager:140
  22:33:10.632  Processing: Glow_Yellow_Cube (Color: Yellow)  -  Server - NeonGlowManager:153
  22:33:10.632    Enhancing glow for SmoothCube (UnionOperation)  -  Server - NeonGlowManager:85
  22:33:10.633    ✓ Enhanced glow applied to SmoothCube  -  Server - NeonGlowManager:140
  22:33:10.633  Processing: Glow_White_Cube (Color: White)  -  Server - NeonGlowManager:153
  22:33:10.633    Enhancing glow for SmoothCube (UnionOperation)  -  Server - NeonGlowManager:85
  22:33:10.633    ✓ Enhanced glow applied to SmoothCube  -  Server - NeonGlowManager:140
  22:33:10.633  Processing: Glow_Red_Cube (Color: Red)  -  Server - NeonGlowManager:153
  22:33:10.633    Enhancing glow for SmoothCube (UnionOperation)  -  Server - NeonGlowManager:85
  22:33:10.633    ✓ Enhanced glow applied to SmoothCube  -  Server - NeonGlowManager:140
  22:33:10.633  Processing: Glow_Purple_Cube (Color: Purple)  -  Server - NeonGlowManager:153
  22:33:10.633    Enhancing glow for SmoothCube (UnionOperation)  -  Server - NeonGlowManager:85
  22:33:10.634    ✓ Enhanced glow applied to SmoothCube  -  Server - NeonGlowManager:140
  22:33:10.634  === Enhanced Glow Manager Complete! ===  -  Server - NeonGlowManager:166
  22:33:23.048  ServerScriptService.server:115: attempt to call missing method 'GetItemPlacement' of table  -  Server - server:115
  22:33:23.049  Stack Begin  -  Studio
  22:33:23.049  Script 'ServerScriptService.server', Line 115  -  Studio - server:115
  22:33:23.049  Stack End  -  Studio
  22:33:23.065  ServerScriptService.server:115: attempt to call missing method 'GetItemPlacement' of table  -  Server - server:115
  22:33:23.065  Stack Begin  -  Studio
  22:33:23.065  Script 'ServerScriptService.server', Line 115  -  Studio - server:115
  22:33:23.065  Stack End  -  Studio
  22:33:23.097  ServerScriptService.server:115: attempt to call missing method 'GetItemPlacement' of table  -  Client - InteractionSystem:230
  22:33:23.097  Stack Begin  -  Studio
  22:33:23.097  Script 'Players.Xdjpearsonx.PlayerScripts.client.interaction.InteractionSystem', Line 230 - function GetAvailableInteractions  -  Studio - InteractionSystem:230
  22:33:23.097  Script 'Players.Xdjpearsonx.PlayerScripts.client.interaction.InteractionSystem', Line 173 - function ShowInteractionUI  -  Studio - InteractionSystem:173
  22:33:23.097  Script 'Players.Xdjpearsonx.PlayerScripts.client.interaction.InteractionSystem', Line 120 - function UpdateCurrentTarget  -  Studio - InteractionSystem:120
  22:33:23.097  Script 'Players.Xdjpearsonx.PlayerScripts.client.interaction.InteractionSystem', Line 91  -  Studio - InteractionSystem:91
  22:33:23.097  Stack End  -  Studio
  22:33:23.114  ServerScriptService.server:115: attempt to call missing method 'GetItemPlacement' of table  -  Server - server:115
  22:33:23.114  Stack Begin  -  Studio
  22:33:23.114  Script 'ServerScriptService.server', Line 115  -  Studio - server:115
  22:33:23.114  Stack End  -  Studio
  22:33:23.114  ServerScriptService.server:115: attempt to call missing method 'GetItemPlacement' of table  -  Server - server:115
  22:33:23.114  Stack Begin  -  Studio
  22:33:23.114  Script 'ServerScriptService.server', Line 115  -  Studio - server:115
  22:33:23.114  Stack End  -  Studio
  22:33:23.115  ServerScriptService.server:115: attempt to call missing method 'GetItemPlacement' of table  -  Client - InteractionSystem:230
  22:33:23.115  Stack Begin  -  Studio
